Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
,,,,,,,50,19.63
,,,,,,,100,19.26
11403965,Rice Bit (6X5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,25.75
,,,,,,,70,25.39
11500230,Vietnamese Spring Roll Wrapper 22CM,Asian Best,30x17.6 OZ,CS,36.00,0.03,0,69.00
,,,,,,,3,68.28
,,,,,,,10,67.55
,,,,,,,50,66.10
11500232,Vietnamese Spring Roll Wrapper 25CM,Asian Best,30x17.6 OZ,CS,37.00,0.03,0,70.50
,,,,,,,3,69.80
,,,,,,,10,69.09
,,,,,,,40,67.61
11500250,Rice Vermicelli (Bun Gao),Asian Best,30x400 G,CS,28.00,0.04,0,42.00
,,,,,,,2,41.24
,,,,,,,10,40.49
11503410,Sweet Rice Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,28.75
,,,,,,,3,28.32
,,,,,,,10,27.89
,,,,,,,66,27.31
11503411,Rice Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,23.75
,,,,,,,3,23.39
,,,,,,,10,23.05
11503412,Tapioca Starch,Asian Best,20x16 OZ,CS,22.00,0.02,0,25.25
,,,,,,,3,24.87
,,,,,,,10,24.49
,,,,,,,66,23.99
11503413,Mung Bean Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,57.75
11503421,Tapioca Pearls White (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,23.25
11503422,Tapioca Pearls Mix Colors (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,26.25
11503423,Tapioca Pearls Green (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,25.75
11503500,Peeled Split Mung Bean,Asian Best,50x14 OZ,CS,46.00,0.03,0,68.00
,,,,,,,2,67.39
11503501,Peeled Split Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,68.00
,,,,,,,2,67.39
11503511,Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,67.00
,,,,,,,2,66.40
11503521,Unpeeled Split Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,67.00
,,,,,,,2,66.40
11503525,Black Bean,Asian Best,50x14 OZ,CS,46.00,0.03,0,84.50
,,,,,,,2,83.99
11503530,Job's Tears,Asian Best,50x14 OZ,CS,46.00,0.03,0,102.50
,,,,,,,2,101.78
11503702,Rice Stick 2mm (S),Asian Best,30x1 LB,CS,33.00,0.05,0,47.00
,,,,,,,5,46.20
,,,,,,,10,45.36
,,,,,,,40,44.56
11503703,Rice Stick 3mm (M),Asian Best,30x1 LB,CS,35.00,0.05,0,47.00
,,,,,,,5,46.20
,,,,,,,10,45.36
,,,,,,,40,44.56
11503705,Rice Stick 5mm (L),Asian Best,30x1 LB,CS,33.00,0.05,0,47.00
,,,,,,,5,46.20
,,,,,,,10,45.36
,,,,,,,40,44.56
11503710,Rice Sticks 10mm (XL),Asian Best,30x1 LB,CS,33.00,0.05,0,47.00
,,,,,,,5,46.20
,,,,,,,10,45.40
,,,,,,,32,44.65
11503712,Rice Vermicelli,Asian Best,24x1 LB,CS,26.00,0.06,0,45.00
,,,,,,,5,44.28
,,,,,,,32,43.56
11503728,Rice Flakes,Asian Best,30x8 OZ,CS,17.00,0.05,0,34.50
,,,,,,,5,33.74
11503902,3 Bundle Rice Stick (S),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11503903,3 Bundle Rice Stick (M),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11503905,3 Bundle Rice Stick (L),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11504010,Authentic Dried Noodle,Shogun,12x13.4 OZ,CS,13.00,0.04,0,26.50
,,,,,,,2,25.76
11504101,Rice Stick Noodles Size S (1 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11504102,Rice Stick Noodles Size M (3 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11504103,Rice Stick Noodles Size L (5 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11607400,Durian Monthong Seedless -F-,Asian Best,16x16 OZ,CS,23.00,0.03,0,197.75
,,,,,,,2,195.48
11607402,Durian Monthong with Seeds -F-,Asian Best,16x16 OZ,CS,20.00,0.03,0,160.00
,,,,,,,2,158.72
11607410,Young Coconut Juice (Cocoking) -F-,Cocoking,24x280 ML,CS,18.00,0.02,0,46.25
11607412,Yg Coconut Water W/Coco Meat (Bag) -F-,Asian Best,60x10 OZ,CS,41.00,0.04,0,91.00
,,,,,,,10,89.73
11607414,Yg Coconut Juice/Shrd Coco Meat -F-,Asian Best,60x8 OZ,CS,35.00,0.03,0,73.00
,,,,,,,2,71.91
,,,,,,,5,71.39
,,,,,,,56,70.81
11607415,Young Coconut Juice (Cup)-F-,Asian Best,24x300 G,CS,18.00,0.02,0,42.75
